fiscalDateEnding,operatingCashflow,capitalExpenditures,grossProfit,totalRevenue,costOfRevenue,operatingExpenses,netIncome,StockValue
2013-03-31,-12250000.0,12203000.0,287009000.0,1023961000.0,736952000.0,445297000.0,2689000.0,187.11
2013-04-30,3147666.67,10831333.33,294238666.67,1039098000.0,744859333.33,431274000.0,11616333.33,200.42
2013-05-31,18545333.33,9459666.67,301468333.33,1054235000.0,752766666.67,417251000.0,20543666.67,213.74
2013-06-30,33943000.0,8088000.0,308698000.0,1069372000.0,760674000.0,403228000.0,29471000.0,227.05
2013-07-31,34193000.0,9001333.33,308165000.0,1081581000.0,773416000.0,404501000.0,30254666.67,247.18
2013-08-31,34443000.0,9914666.67,307632000.0,1093790000.0,786158000.0,405774000.0,31038333.33,267.3
2013-09-30,34693000.0,10828000.0,307099000.0,1105999000.0,798900000.0,407047000.0,31822000.0,287.43
2013-10-31,36943666.67,14921666.67,322917000.0,1129076000.0,806159000.0,561591000.0,37355000.0,313.25
2013-11-30,39194333.33,19015333.33,338735000.0,1152153000.0,813418000.0,716135000.0,42888000.0,339.06
2013-12-31,41445000.0,23109000.0,354553000.0,1175230000.0,820677000.0,870679000.0,48421000.0,364.88
2014-01-31,39749666.67,19850666.67,370003000.0,1206849666.67,836846666.67,740309333.33,49985666.67,390.32
2014-02-28,38054333.33,16592333.33,385453000.0,1238469333.33,853016333.33,609939666.67,51550333.33,415.75
2014-03-31,36359000.0,13334000.0,400903000.0,1270089000.0,869186000.0,479570000.0,53115000.0,441.19
2014-04-30,42914000.0,15512333.33,409121666.67,1293528333.33,884406666.67,476765000.0,59082666.67,433.95
2014-05-31,49469000.0,17690666.67,417340333.33,1316967666.67,899627333.33,473960000.0,65050333.33,426.72
2014-06-30,56024000.0,19869000.0,425559000.0,1340407000.0,914848000.0,471155000.0,71018000.0,419.48
2014-07-31,24869666.67,20256666.67,435385333.33,1363415333.33,928030000.0,495306000.0,67110333.33,439.15
2014-08-31,-6284666.67,20644333.33,445211666.67,1386423666.67,941212000.0,519457000.0,63202666.67,458.83
2014-09-30,-37439000.0,21032000.0,455038000.0,1409432000.0,954394000.0,543608000.0,59295000.0,478.5
2014-10-31,-37779666.67,19185000.0,460157333.33,1434530666.67,974373333.33,742448333.33,67320333.33,434.0
2014-11-30,-38120333.33,17338000.0,465276666.67,1459629333.33,994352666.67,941288666.67,75345666.67,389.5
