fiscalDateEnding,operatingCashflow,capitalExpenditures,grossProfit,totalRevenue,costOfRevenue,operatingExpenses,netIncome,StockValue
2013-03-31,-12250000,12203000,287009000,1023961000,736952000,445297000,2689000,187.11
2013-06-30,33943000,8088000,308698000,1069372000,760674000,403228000,29471000,227.05
2013-09-30,34693000,10828000,307099000,1105999000,798900000,407047000,31822000,287.43
2013-12-31,41445000,23109000,354553000,1175230000,820677000,870679000,48421000,364.88
2014-03-31,36359000,13334000,400903000,1270089000,869186000,479570000,53115000,441.19
2014-06-30,56024000,19869000,425559000,1340407000,914848000,471155000,71018000,419.48
2014-09-30,-37439000,21032000,455038000,1409432000,954394000,543608000,59295000,478.5
2014-12-31,-38461000,15491000,470396000,1484728000,1014332000,1140129000,83371000,345.0
2015-03-31,-127382000,13036000,526728000,1573129000,1046401000,663867000,23696000,474.0
2015-06-30,-181343000,27538000,522942000,1644694000,1121752000,699074000,26335000,621.86
2015-09-30,-195969000,37820000,564397000,1738355000,1173958000,773410000,29432000,109.36
2015-12-31,-244745000,12854000,573968000,1823333000,1249365000,1518275000,43178000,124.47
2016-03-31,-228590000,8425000,588196000,1957736000,1418581000,869476000,27658000,94.58
2016-06-30,-226293000,10814000,632106000,2105204000,1525397000,907443000,40755000,101.5
2016-09-30,-461941000,27366000,757344000,2290188000,1593768000,1020573000,51517000,97.81
2016-12-31,-557160000,61048000,823122000,2477541000,1719716000,397979000,66748000,117.52
2017-03-31,-343856000,52523000,895904000,2636635000,1740731000,1174068000,178222000,142.84
2017-06-30,-534528000,65231000,793768000,2785464000,1991696000,1236375000,65600000,163.52
2017-09-30,-419607000,33963000,898620000,2984859000,2086239000,1254014000,129590000,175.55
2017-12-31,-487957000,21585000,1071421000,3285755000,2214334000,578986000,185517000,186.99
2018-03-31,-236757000,37170000,1400277000,3700856000,2300579000,1637184000,290124000,292.75
2018-06-30,-518239000,27323000,1504839000,3907270000,2402431000,1783600000,384349000,353.88
2018-09-30,-690411000,39333000,1468246000,3999374000,2531128000,1777451000,402835000,366.47
2018-12-31,-1235072000,70120000,1453441000,4186841000,2733400000,2671636000,133934000,293.19
2019-03-31,-379799000,60381000,1650378000,4520992000,2870614000,1766010000,344052000,362.26
2019-06-30,-543754000,39584000,1917459000,4923116000,3005657000,1818930000,270650000,343.56
2019-09-30,-501794000,45333000,2146986000,5244905000,3097919000,1779697000,665244000,290.82
2019-12-31,-1461975000,107737000,2001411000,5467434000,3466023000,1754194000,586970000,314.39
2020-03-31,259912000,98015000,2167990000,5767691000,3599701000,1209734000,709067000,373.11
2020-06-30,1041076000,141741000,2504579000,6148286000,3643707000,1146651000,720196000,418.83
2020-09-30,1263761000,109811000,2567886000,6435637000,3867751000,1253023000,789976000,532.6
2020-12-31,-137672000,148356000,2479282000,6644442000,4165160000,3126440000,542156000,492.3404
2021-03-31,777266000,81001000,3294771000,7163282000,3868511000,1334915000,1706715000,545.5734
2021-06-30,-63761000,110278000,3323769000,7341777000,4018008000,1476139000,1353013000,504.01
2021-09-30,82379000,167327000,3276878000,7483467000,4206589000,1521625000,1449071000,569.0
2021-12-31,-403274000,165979000,2469743000,7709318000,5239575000,1233088000,607429000,649.48
2022-03-31,922839000,121158000,3583062000,7867767000,4284705000,1611436000,1597447000,391.6
2022-06-30,102750000,90018000,3279386000,7970141000,4690755000,1701103000,1440951000,198.7
2022-09-30,556810000,84960000,3136924000,7925589000,4788665000,1603906000,1398242000,220.72
2022-12-31,443858000,111593000,2447893000,7852053000,5404160000,3483989000,55284000,303.99
2023-03-31,2178740000,62019000,3357878000,8161503000,4803625000,1643561000,1305120000,321.55
2023-06-30,1440232000,100972000,3513831000,8187301000,4673470000,1686648000,1487610000,397.41
2023-09-30,1992315000,103929000,3610880000,8541668000,4930788000,1694486000,1677422000,437.725
2023-12-31,1663014000,81632000,3525340000,8832825000,5307485000,3761231000,937838000,473.17
