fiscalDateEnding,operatingCashflow,capitalExpenditures,grossProfit,totalRevenue,costOfRevenue,operatingExpenses,netIncome,StockValue
2013-03-31,-12250000.0,12203000.0,287009000.0,1023961000.0,736952000.0,445297000.0,2689000.0,187.11
2013-04-07,-8696692.31,11886461.54,288677384.62,1027454153.85,738776769.23,442060923.08,4749153.85,190.18
2013-04-14,-5143384.62,11569923.08,290345769.23,1030947307.69,740601538.46,438824846.15,6809307.69,193.25
2013-04-21,-1590076.92,11253384.62,292014153.85,1034440461.54,742426307.69,435588769.23,8869461.54,196.33
2013-04-28,1963230.77,10936846.15,293682538.46,1037933615.38,744251076.92,432352692.31,10929615.38,199.4
2013-05-05,5516538.46,10620307.69,295350923.08,1041426769.23,746075846.15,429116615.38,12989769.23,202.47
2013-05-12,9069846.15,10303769.23,297019307.69,1044919923.08,747900615.38,425880538.46,15049923.08,205.54
2013-05-19,12623153.85,9987230.77,298687692.31,1048413076.92,749725384.62,422644461.54,17110076.92,208.62
2013-05-26,16176461.54,9670692.31,300356076.92,1051906230.77,751550153.85,419408384.62,19170230.77,211.69
2013-06-02,19729769.23,9354153.85,302024461.54,1055399384.62,753374923.08,416172307.69,21230384.62,214.76
2013-06-09,23283076.92,9037615.38,303692846.15,1058892538.46,755199692.31,412936230.77,23290538.46,217.83
2013-06-16,26836384.62,8721076.92,305361230.77,1062385692.31,757024461.54,409700153.85,25350692.31,220.91
2013-06-23,30389692.31,8404538.46,307029615.38,1065878846.15,758849230.77,406464076.92,27410846.15,223.98
2013-06-30,33943000.0,8088000.0,308698000.0,1069372000.0,760674000.0,403228000.0,29471000.0,227.05
2013-07-07,34000065.22,8296478.26,308576336.96,1072158836.96,763582500.0,403518576.09,29649880.43,231.64
2013-07-14,34057130.43,8504956.52,308454673.91,1074945673.91,766491000.0,403809152.17,29828760.87,236.24
2013-07-21,34114195.65,8713434.78,308333010.87,1077732510.87,769399500.0,404099728.26,30007641.3,240.83
2013-07-28,34171260.87,8921913.04,308211347.83,1080519347.83,772308000.0,404390304.35,30186521.74,245.43
2013-08-04,34228326.09,9130391.3,308089684.78,1083306184.78,775216500.0,404680880.43,30365402.17,250.02
2013-08-11,34285391.3,9338869.57,307968021.74,1086093021.74,778125000.0,404971456.52,30544282.61,254.61
2013-08-18,34342456.52,9547347.83,307846358.7,1088879858.7,781033500.0,405262032.61,30723163.04,259.21
2013-08-25,34399521.74,9755826.09,307724695.65,1091666695.65,783942000.0,405552608.7,30902043.48,263.8
2013-09-01,34456586.96,9964304.35,307603032.61,1094453532.61,786850500.0,405843184.78,31080923.91,268.4
2013-09-08,34513652.17,10172782.61,307481369.57,1097240369.57,789759000.0,406133760.87,31259804.35,272.99
2013-09-15,34570717.39,10381260.87,307359706.52,1100027206.52,792667500.0,406424336.96,31438684.78,277.59
2013-09-22,34627782.61,10589739.13,307238043.48,1102814043.48,795576000.0,406714913.04,31617565.22,282.18
2013-09-29,34684847.83,10798217.39,307116380.43,1105600880.43,798484500.0,407005489.13,31796445.65,286.77
2013-10-06,35133347.83,11628934.78,310193826.09,1110514065.22,800320239.13,437283869.57,32904543.48,292.48
2013-10-13,35647086.96,12563358.7,313804456.52,1115781641.3,801977184.78,472560217.39,34167510.87,298.37
2013-10-20,36160826.09,13497782.61,317415086.96,1121049217.39,803634130.43,507836565.22,35430478.26,304.27
2013-10-27,36674565.22,14432206.52,321025717.39,1126316793.48,805291076.09,543112913.04,36693445.65,310.16
2013-11-03,37188304.35,15366630.43,324636347.83,1131584369.57,806948021.74,578389260.87,37956413.04,316.05
2013-11-10,37702043.48,16301054.35,328246978.26,1136851945.65,808604967.39,613665608.7,39219380.43,321.95
2013-11-17,38215782.61,17235478.26,331857608.7,1142119521.74,810261913.04,648941956.52,40482347.83,327.84
2013-11-24,38729521.74,18169902.17,335468239.13,1147387097.83,811918858.7,684218304.35,41745315.22,333.73
2013-12-01,39243260.87,19104326.09,339078869.57,1152654673.91,813575804.35,719494652.17,43008282.61,339.62
2013-12-08,39757000.0,20038750.0,342689500.0,1157922250.0,815232750.0,754771000.0,44271250.0,345.52
2013-12-15,40270739.13,20973173.91,346300130.43,1163189826.09,816889695.65,790047347.83,45534217.39,351.41
2013-12-22,40784478.26,21907597.83,349910760.87,1168457402.17,818546641.3,825323695.65,46797184.78,357.3
2013-12-29,41298217.39,22842021.74,353521391.3,1173724978.26,820203586.96,860600043.48,48060152.17,363.2
2014-01-05,41162444.44,22565944.44,357128000.0,1180499944.44,823371944.44,848950722.22,48681777.78,369.12
2014-01-12,40766866.67,21805666.67,360733000.0,1187877866.67,827144866.67,818531133.33,49046866.67,375.05
2014-01-19,40371288.89,21045388.89,364338000.0,1195255788.89,830917788.89,788111544.44,49411955.56,380.99
2014-01-26,39975711.11,20285111.11,367943000.0,1202633711.11,834690711.11,757691955.56,49777044.44,386.93
2014-02-02,39580133.33,19524833.33,371548000.0,1210011633.33,838463633.33,727272366.67,50142133.33,392.86
2014-02-09,39184555.56,18764555.56,375153000.0,1217389555.56,842236555.56,696852777.78,50507222.22,398.8
2014-02-16,38788977.78,18004277.78,378758000.0,1224767477.78,846009477.78,666433188.89,50872311.11,404.73
2014-02-23,38393400.0,17244000.0,382363000.0,1232145400.0,849782400.0,636013600.0,51237400.0,410.67
2014-03-02,37997822.22,16483722.22,385968000.0,1239523322.22,853555322.22,605594011.11,51602488.89,416.6
2014-03-09,37602244.44,15723444.44,389573000.0,1246901244.44,857328244.44,575174422.22,51967577.78,422.54
2014-03-16,37206666.67,14963166.67,393178000.0,1254279166.67,861101166.67,544754833.33,52332666.67,428.47
2014-03-23,36811088.89,14202888.89,396783000.0,1261657088.89,864874088.89,514335244.44,52697755.56,434.41
2014-03-30,36415511.11,13442611.11,400388000.0,1269035011.11,868647011.11,483915655.56,53062844.44,440.34
2014-04-06,37655593.41,13764879.12,402528670.33,1274725351.65,872196681.32,479015164.84,54295417.58,439.76
2014-04-13,39168285.71,14267571.43,404425285.71,1280134428.57,875709142.86,478367857.14,55672571.43,438.09
2014-04-20,40680978.02,14770263.74,406321901.1,1285543505.49,879221604.4,477720549.45,57049725.27,436.42
2014-04-27,42193670.33,15272956.04,408218516.48,1290952582.42,882734065.93,477073241.76,58426879.12,434.75
2014-05-04,43706362.64,15775648.35,410115131.87,1296361659.34,886246527.47,476425934.07,59804032.97,433.08
2014-05-11,45219054.95,16278340.66,412011747.25,1301770736.26,889758989.01,475778626.37,61181186.81,431.41
2014-05-18,46731747.25,16781032.97,413908362.64,1307179813.19,893271450.55,475131318.68,62558340.66,429.74
2014-05-25,48244439.56,17283725.27,415804978.02,1312588890.11,896783912.09,474484010.99,63935494.51,428.07
2014-06-01,49757131.87,17786417.58,417701593.41,1317997967.03,900296373.63,473836703.3,65312648.35,426.4
2014-06-08,51269824.18,18289109.89,419598208.79,1323407043.96,903808835.16,473189395.6,66689802.2,424.73
2014-06-15,52782516.48,18791802.2,421494824.18,1328816120.88,907321296.7,472542087.91,68066956.04,423.06
2014-06-22,54295208.79,19294494.51,423391439.56,1334225197.8,910833758.24,471894780.22,69444109.89,421.39
2014-06-29,55807901.1,19797186.81,425288054.95,1339634274.73,914346219.78,471247472.53,70821263.74,419.72
2014-07-06,49928586.96,19944847.83,427481543.48,1344908630.43,917427086.96,475880195.65,70253456.52,423.33
2014-07-13,42817271.74,20033336.96,429724510.87,1350160532.61,920436021.74,481392923.91,69361489.13,427.82
2014-07-20,35705956.52,20121826.09,431967478.26,1355412434.78,923444956.52,486905652.17,68469521.74,432.31
2014-07-27,28594641.3,20210315.22,434210445.65,1360664336.96,926453891.3,492418380.43,67577554.35,436.8
2014-08-03,21483326.09,20298804.35,436453413.04,1365916239.13,929462826.09,497931108.7,66685586.96,441.29
2014-08-10,14372010.87,20387293.48,438696380.43,1371168141.3,932471760.87,503443836.96,65793619.57,445.78
2014-08-17,7260695.65,20475782.61,440939347.83,1376420043.48,935480695.65,508956565.22,64901652.17,450.27
2014-08-24,149380.43,20564271.74,443182315.22,1381671945.65,938489630.43,514469293.48,64009684.78,454.76
2014-08-31,-6961934.78,20652760.87,445425282.61,1386923847.83,941498565.22,519982021.74,63117717.39,459.25
2014-09-07,-14073250.0,20741250.0,447668250.0,1392175750.0,944507500.0,525494750.0,62225750.0,463.74
2014-09-14,-21184565.22,20829739.13,449911217.39,1397427652.17,947516434.78,531007478.26,61333782.61,468.24
2014-09-21,-28295880.43,20918228.26,452154184.78,1402679554.35,950525369.57,536520206.52,60441815.22,472.73
2014-09-28,-35407195.65,21006717.39,454397152.17,1407931456.52,953534304.35,542032934.78,59549847.83,477.22
2014-10-05,-37494543.48,20730858.7,455872673.91,1413524173.91,957651500.0,576027619.57,60603478.26,471.24
2014-10-12,-37572304.35,20309260.87,457041217.39,1419253217.39,962212000.0,621415086.96,62435347.83,461.09
2014-10-19,-37650065.22,19887663.04,458209760.87,1424982260.87,966772500.0,666802554.35,64267217.39,450.93
2014-10-26,-37727826.09,19466065.22,459378304.35,1430711304.35,971333000.0,712190021.74,66099086.96,440.77
2014-11-02,-37805586.96,19044467.39,460546847.83,1436440347.83,975893500.0,757577489.13,67930956.52,430.61
2014-11-09,-37883347.83,18622869.57,461715391.3,1442169391.3,980454000.0,802964956.52,69762826.09,420.46
2014-11-16,-37961108.7,18201271.74,462883934.78,1447898434.78,985014500.0,848352423.91,71594695.65,410.3
2014-11-23,-38038869.57,17779673.91,464052478.26,1453627478.26,989575000.0,893739891.3,73426565.22,400.14
2014-11-30,-38116630.43,17358076.09,465221021.74,1459356521.74,994135500.0,939127358.7,75258434.78,389.98
2014-12-07,-38194391.3,16936478.26,466389565.22,1465085565.22,998696000.0,984514826.09,77090304.35,379.83
2014-12-14,-38272152.17,16514880.43,467558108.7,1470814608.7,1003256500.0,1029902293.48,78922173.91,369.67
2014-12-21,-38349913.04,16093282.61,468726652.17,1476543652.17,1007817000.0,1075289760.87,80754043.48,359.51
2014-12-28,-38427673.91,15671684.78,469895195.65,1482272695.65,1012377500.0,1120677228.26,82585913.04,349.35
2015-01-04,-42413044.44,15381888.89,472899644.44,1488656933.33,1015757288.89,1118961800.0,80718777.78,350.73
2015-01-11,-49329122.22,15190944.44,477281022.22,1495532566.67,1018251544.44,1081919200.0,76077388.89,360.77
2015-01-18,-56245200.0,15000000.0,481662400.0,1502408200.0,1020745800.0,1044876600.0,71436000.0,370.8
2015-01-25,-63161277.78,14809055.56,486043777.78,1509283833.33,1023240055.56,1007834000.0,66794611.11,380.83
2015-02-01,-70077355.56,14618111.11,490425155.56,1516159466.67,1025734311.11,970791400.0,62153222.22,390.87
2015-02-08,-76993433.33,14427166.67,494806533.33,1523035100.0,1028228566.67,933748800.0,57511833.33,400.9
2015-02-15,-83909511.11,14236222.22,499187911.11,1529910733.33,1030722822.22,896706200.0,52870444.44,410.93
2015-02-22,-90825588.89,14045277.78,503569288.89,1536786366.67,1033217077.78,859663600.0,48229055.56,420.97
2015-03-01,-97741666.67,13854333.33,507950666.67,1543662000.0,1035711333.33,822621000.0,43587666.67,431.0
2015-03-08,-104657744.44,13663388.89,512332044.44,1550537633.33,1038205588.89,785578400.0,38946277.78,441.03
2015-03-15,-111573822.22,13472444.44,516713422.22,1557413266.67,1040699844.44,748535800.0,34304888.89,451.07
2015-03-22,-118489900.0,13281500.0,521094800.0,1564288900.0,1043194100.0,711493200.0,29663500.0,461.1
2015-03-29,-125405977.78,13090555.56,525476177.78,1571164533.33,1045688355.56,674450600.0,25022111.11,471.13
2015-04-05,-130346890.11,13832813.19,526519978.02,1577061142.86,1050541164.84,665801450.55,23841000.0,482.12
2015-04-12,-134497736.26,14948351.65,526228747.25,1582566142.86,1056337395.6,668509681.32,24044000.0,493.5
2015-04-19,-138648582.42,16063890.11,525937516.48,1588071142.86,1062133626.37,671217912.09,24247000.0,504.87
2015-04-26,-142799428.57,17179428.57,525646285.71,1593576142.86,1067929857.14,673926142.86,24450000.0,516.25
2015-05-03,-146950274.73,18294967.03,525355054.95,1599081142.86,1073726087.91,676634373.63,24653000.0,527.62
2015-05-10,-151101120.88,19410505.49,525063824.18,1604586142.86,1079522318.68,679342604.4,24856000.0,538.99
2015-05-17,-155251967.03,20526043.96,524772593.41,1610091142.86,1085318549.45,682050835.16,25059000.0,550.37
2015-05-24,-159402813.19,21641582.42,524481362.64,1615596142.86,1091114780.22,684759065.93,25262000.0,561.74
2015-05-31,-163553659.34,22757120.88,524190131.87,1621101142.86,1096911010.99,687467296.7,25465000.0,573.11
2015-06-07,-167704505.49,23872659.34,523898901.1,1626606142.86,1102707241.76,690175527.47,25668000.0,584.49
2015-06-14,-171855351.65,24988197.8,523607670.33,1632111142.86,1108503472.53,692883758.24,25871000.0,595.86
2015-06-21,-176006197.8,26103736.26,523316439.56,1637616142.86,1114299703.3,695591989.01,26074000.0,607.24
2015-06-28,-180157043.96,27219274.73,523025208.79,1643121142.86,1120095934.07,698300219.78,26277000.0,618.61
2015-07-05,-182137891.3,28096804.35,525194989.13,1649784271.74,1124589282.61,703114000.0,26503315.22,594.01
2015-07-12,-183250739.13,28879130.43,528349173.91,1656910652.17,1128561478.26,708770000.0,26738956.52,555.01
2015-07-19,-184363586.96,29661456.52,531503358.7,1664037032.61,1132533673.91,714426000.0,26974597.83,516.02
2015-07-26,-185476434.78,30443782.61,534657543.48,1671163413.04,1136505869.57,720082000.0,27210239.13,477.02
2015-08-02,-186589282.61,31226108.7,537811728.26,1678289793.48,1140478065.22,725738000.0,27445880.43,438.03
2015-08-09,-187702130.43,32008434.78,540965913.04,1685416173.91,1144450260.87,731394000.0,27681521.74,399.03
2015-08-16,-188814978.26,32790760.87,544120097.83,1692542554.35,1148422456.52,737050000.0,27917163.04,360.04
2015-08-23,-189927826.09,33573086.96,547274282.61,1699668934.78,1152394652.17,742706000.0,28152804.35,321.04
2015-08-30,-191040673.91,34355413.04,550428467.39,1706795315.22,1156366847.83,748362000.0,28388445.65,282.05
2015-09-06,-192153521.74,35137739.13,553582652.17,1713921695.65,1160339043.48,754018000.0,28624086.96,243.06
2015-09-13,-193266369.57,35920065.22,556736836.96,1721048076.09,1164311239.13,759674000.0,28859728.26,204.06
2015-09-20,-194379217.39,36702391.3,559891021.74,1728174456.52,1168283434.78,765330000.0,29095369.57,165.07
2015-09-27,-195492065.22,37484717.39,563045206.52,1735300836.96,1172255630.43,770986000.0,29331010.87,126.07
2015-10-04,-198089695.65,36734521.74,564813130.43,1742049695.65,1177236565.22,805795434.78,30029652.17,110.02
2015-10-11,-201800913.04,34834934.78,565541358.7,1748515413.04,1182974054.35,862469945.65,31075543.48,111.17
2015-10-18,-205512130.43,32935347.83,566269586.96,1754981130.43,1188711543.48,919144456.52,32121434.78,112.32
2015-10-25,-209223347.83,31035760.87,566997815.22,1761446847.83,1194449032.61,975818967.39,33167326.09,113.47
2015-11-01,-212934565.22,29136173.91,567726043.48,1767912565.22,1200186521.74,1032493478.26,34213217.39,114.62
2015-11-08,-216645782.61,27236586.96,568454271.74,1774378282.61,1205924010.87,1089167989.13,35259108.7,115.77
2015-11-15,-220357000.0,25337000.0,569182500.0,1780844000.0,1211661500.0,1145842500.0,36305000.0,116.92
2015-11-22,-224068217.39,23437413.04,569910728.26,1787309717.39,1217398989.13,1202517010.87,37350891.3,118.06
2015-11-29,-227779434.78,21537826.09,570638956.52,1793775434.78,1223136478.26,1259191521.74,38396782.61,119.21
2015-12-06,-231490652.17,19638239.13,571367184.78,1800241152.17,1228873967.39,1315866032.61,39442673.91,120.36
2015-12-13,-235201869.57,17738652.17,572095413.04,1806706869.57,1234611456.52,1372540543.48,40488565.22,121.51
2015-12-20,-238913086.96,15839065.22,572823641.3,1813172586.96,1240348945.65,1429215054.35,41534456.52,122.66
2015-12-27,-242624304.35,13939478.26,573551869.57,1819638304.35,1246086434.78,1485889565.22,42580347.83,123.81
2016-01-03,-244212417.58,12707989.01,574437054.95,1827763868.13,1254943549.45,1496886021.98,42666351.65,123.48
2016-01-10,-242969725.27,12367296.7,575531516.48,1838102560.44,1267960164.84,1446978406.59,41472505.49,121.19
2016-01-17,-241727032.97,12026604.4,576625978.02,1848441252.75,1280976780.22,1397070791.21,40278659.34,118.89
2016-01-24,-240484340.66,11685912.09,577720439.56,1858779945.05,1293993395.6,1347163175.82,39084813.19,116.59
